court,casenum,file_date,top_ct_desc,top_ct_statute,n_ct,ojo_burg_cat
ROGERS,CF-2018-00528,8/14/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2018-00542,8/20/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2018-00549,8/23/18,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2018-00550,8/23/18,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2018-00576,9/4/18,BURGLARY IN THE FIRST DEGREE,21.1431,5,FIRST DEGREE
ROGERS,CF-2018-00577,9/4/18,BURGLARY IN THE FIRST DEGREE,21.1431,5,FIRST DEGREE
ROGERS,CF-2018-00599,9/13/18,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2018-00605,9/14/18,BURGLARY IN THE FIRST DEGREE,21.1431,2,FIRST DEGREE
ROGERS,CF-2018-00610,9/14/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2018-00611,9/14/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2018-00643,9/24/18,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2018-00698,10/17/18,BURGLARY IN THE SECOND DEGREE,21.1435,4,SECOND DEGREE
ROGERS,CF-2018-00703,10/19/18,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2018-00730,10/29/18,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2018-00739,11/2/18,BURGLARY IN THE FIRST DEGREE,21.1431,1,FIRST DEGREE
ROGERS,CF-2018-00764,11/20/18,BURGLARY IN THE FIRST DEGREE,21.1431,3,FIRST DEGREE
ROGERS,CF-2018-00766,11/20/18,BURGLARY IN THE FIRST DEGREE,21.1431,2,FIRST DEGREE
ROGERS,CF-2018-00773,11/21/18,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2018-00807,12/13/18,BURGLARY IN THE FIRST DEGREE,21.1431,1,FIRST DEGREE
ROGERS,CF-2018-00825,12/20/18,BURGLARY IN THE 3RD DEGREE,21.1435.B,3,THIRD DEGREE
ROGERS,CF-2019-00003,1/3/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00007,1/4/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00025,1/16/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00041,1/22/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00042,1/23/19,BURGLARY IN THE SECOND DEGREE,21.1435,4,SECOND DEGREE
ROGERS,CF-2019-00043,1/23/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00045,1/23/19,BURGLARY IN THE SECOND DEGREE,21.1435,6,SECOND DEGREE
ROGERS,CF-2019-00056,1/25/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00057,1/25/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00062,1/31/19,BURGLARY IN THE SECOND DEGREE,21.1435,6,SECOND DEGREE
ROGERS,CF-2019-00063,1/31/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00064,1/31/19,BURGLARY IN THE FIRST DEGREE,21.1431,4,FIRST DEGREE
ROGERS,CF-2019-00100,2/13/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00102,2/13/19,BURGLARY IN THE FIRST DEGREE,21.1431,1,FIRST DEGREE
ROGERS,CF-2019-00104,2/13/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00105,2/13/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00119,2/22/19,BURGLARY IN THE FIRST DEGREE,21.1431,3,FIRST DEGREE
ROGERS,CF-2019-00124,2/22/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00125,2/22/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00135,2/27/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00153,3/11/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00154,3/11/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00157,3/11/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00166,3/14/19,ATTEMPTED BURGLARY IN THE FIRST DEGREE,21.1431,3,FIRST DEGREE
ROGERS,CF-2019-00200,4/1/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00208,4/5/19,BURGLARY IN THE SECOND DEGREE,21.1435,4,SECOND DEGREE
